,bat,rpo_rrr less than or equals 6,rpo_rrr more than 6
0,Virat Kohli,5.42,5.93
1,MS Dhoni,4.93,4.73
2,Rohit Sharma,5.32,5.58
3,Shakib Al Hasan,5.15,5.03
4,Kumar Sangakkara,4.43,5.84
5,Ross Taylor,4.59,5.34
6,AB de Villiers,5.48,6.1
7,Mushfiqur Rahim,4.06,4.81
8,Brendan Taylor,4.35,5.21
9,Kane Williamson,4.27,5.06
10,Eoin Morgan,5.24,5.76
11,Tillakaratne Dilshan,5.39,5.49
12,Elton Chigumbura,4.18,5.04
13,Tamim Iqbal,4.85,5.08
14,Angelo Mathews,4.63,5.08
15,Sean Williams,5.37,5.34
16,Mahmudullah,4.28,4.58
17,Shoaib Malik,4.59,5.08
18,Chris Gayle,5.75,6.2
19,Babar Azam,4.96,5.41
20,Tom Latham,5.14,5.15
21,Shivnarine Chanderpaul,3.77,5.06
22,Joe Root,4.85,5.3
23,Shai Hope,4.33,4.93
24,Suresh Raina,5.62,5.58
25,Shikhar Dhawan,5.57,5.27
26,Jason Roy,6.76,6.78
27,Yuvraj Singh,4.85,5.21
28,Quinton de Kock,6.19,6.34
29,Misbah-ul-Haq,3.99,4.95
30,Shahid Afridi,8.15,8.03
31,Denesh Ramdin,,5.11
32,Ravindra Jadeja,,5.22
33,Sikandar Raza,5.04,5.57
34,Hashim Amla,4.85,5.38
35,Steven Smith,4.85,5.43
36,Hamilton Masakadza,4.17,4.44
37,Ramnaresh Sarwan,3.91,5.06
38,Jos Buttler,6.51,6.43
39,Fakhar Zaman,5.56,6.2
40,Paul Stirling,5.25,5.8
41,Umar Akmal,5.15,5.05
42,Marlon Samuels,4.76,4.84
43,David Miller,,5.95
44,Mahela Jayawardene,4.78,5.36
45,Mohammad Hafeez,4.45,5.12
46,Dinesh Chandimal,4.48,4.67
47,Faf du Plessis,4.98,5.86
48,Glenn Maxwell,7.33,7.3
49,Ben Stokes,5.79,5.5
50,Martin Guptill,5.67,5.3
51,Thisara Perera,,7.01
52,Jonny Bairstow,6.69,6.53
53,Kevin Pietersen,4.91,5.88
54,Paul Collingwood,4.04,5.29
55,Kevin O'Brien,4.71,6.21
56,Brendon McCullum,6.82,5.75
57,Jason Holder,,5.59
58,Ravi Bopara,4.41,5.3
59,Gautam Gambhir,5.1,5.43
60,David Warner,5.83,5.74
61,Darren Bravo,3.63,4.74
62,Sarfaraz Ahmed,,5.37
63,Jean-Paul Duminy,4.34,4.83
64,Mohammad Ashraful,4.29,4.58
65,Upul Tharanga,4.62,5.13
66,Craig Ervine,4.33,5.36
67,Lahiru Thirimanne,4.27,4.67
68,Kieron Pollard,5.65,5.26
69,Imam-ul-Haq,4.72,5.3
70,Ian Bell,4.39,4.76
71,Rahul Dravid,4.19,4.65
72,Mohammad Nabi,5.21,5.44
73,Tatenda Taibu,,4.55
74,Mark Boucher,,5.12
75,Younis Khan,4.36,4.96
76,Dwayne Bravo,5.01,4.61
77,Daren Sammy,,5.82
78,Mohammad Rizwan,,5.4
79,Michael Clarke,4.42,4.71
80,Herschelle Gibbs,5.05,5.63
81,Aaron Finch,5.67,5.1
82,Sachin Tendulkar,4.82,5.67
83,Rahmat Shah,4.37,4.5
84,Andy Balbirnie,4.18,4.85
85,Abdul Razzaq,,5.46
86,Daryl Mitchell,,5.82
87,Shaun Pollock,,5.88
88,Chamu Chibhabha,4.17,3.95
89,Andrew Strauss,4.89,5.56
90,Kusal Mendis,4.94,5.27
91,Haris Sohail,,4.99
92,Salman Butt,4.42,5.01
93,Kusal Perera,5.56,5.47
94,Jacques Kallis,4.54,4.78
95,Mohammad Yousuf,3.85,5.03
96,Alex Carey,,6.39
97,Ajinkya Rahane,4.78,4.77
98,Graeme Smith,5.18,5.84
99,Moeen Ali,4.86,6.38
100,Harry Tector,,5.53
101,Scott Styris,,5.12
102,Kamran Akmal,5.08,5.24
103,Mashrafe Mortaza,,5.16
104,Shaun Marsh,,5.4
105,Marcus Stoinis,,6.0
106,Scott Edwards,,6.19
107,Prosper Utseya,,3.44
108,Regis Chakabva,,4.15
109,Michael Hussey,4.18,4.7
110,Shane Watson,5.61,
111,Virender Sehwag,6.38,
112,Ricky Ponting,4.66,
113,Mohammad Shahzad,5.32,
114,William Porterfield,4.22,
115,Adam Gilchrist,6.65,
116,Alastair Cook,4.57,
117,Kyle Coetzer,4.48,
118,Calum MacLeod,4.38,
119,Pathum Nissanka,6.18,
120,Vusi Sibanda,4.21,
121,Ahmed Shehzad,4.33,
122,KL Rahul,4.69,
123,Niall O'Brien,4.39,
124,Soumya Sarkar,6.31,
125,Ed Joyce,4.2,
126,Aasif Sheikh,4.93,
127,Litton Das,5.2,
128,Sanath Jayasuriya,6.04,
129,Shahriar Nafees,4.5,
130,Dinesh Karthik,4.15,
131,Rohit Paudel,4.63,
132,Travis Head,5.74,
133,Jonathan Trott,3.93,
134,Aqib Ilyas,4.71,
135,Brad Haddin,5.24,
136,Asghar Afghan,3.49,
137,Kushal Bhurtel,4.84,
138,Richie Berrington,3.78,
139,Henry Nicholls,4.48,
140,Ambati Rayudu,4.69,
141,Shubman Gill,5.91,
142,Imran Farhat,4.04,
143,Imrul Kayes,4.06,
144,Gerhard Erasmus,4.75,
145,Hashmatullah Shahidi,3.86,
146,George Munsey,5.02,
147,Matthew Hayden,4.63,
148,Vriitya Aravind,4.14,
149,Evin Lewis,4.99,
150,Samiullah Shinwari,3.87,
151,Jatinder Singh,4.63,
152,Andrew Symonds,5.7,
153,Nasir Jamshed,4.61,
154,Alex Hales,5.38,
155,Johnson Charles,5.05,
156,Steven Taylor,5.66,
157,Mitchell Marsh,6.28,
158,Asad Shafiq,3.92,
159,George Bailey,4.27,
160,Brandon King,5.54,
161,Nawroz Mangal,4.85,
162,Boeta Dippenaar,4.42,
163,Gary Wilson,3.98,
164,Alex Obanda,4.54,
165,Aiden Markram,5.67,
166,Tony Ura,4.63,
167,Monank Patel,4.59,
168,Craig Kieswetter,5.71,
169,Wesley Barresi,4.73,
170,Simon Katich,4.22,
171,Devon Conway,5.38,
172,Nicholas Pooran,5.69,
